distance,source,target
5.40348003975216,Gl-618A,Gl-667A
9.14028331563087,Gl-618A,NN-3877
9.650665248572246,Gl-618A,Gl-663B
9.650882027048098,Gl-618A,Gl-663A
9.326679976283096,Gl-618A,Gl-664
7.11470316527682,Gl-1,Gl-845
7.644809170280185,Gl-1,Gl-832
9.789243597438976,Gl-1,GJ-1061
7.949861332752918,Gl-1,Gl-825
0.0,Gl-1,Gl-1
4.227558337858865,Gl-1,Gl-887
8.160579573167581,Gl-1,Gl-881
8.226768757537798,Gl-1,Gl-65A
6.350326582153079,Gl-1,Gl-54.1
6.438195977135209,Gl-1,GJ-1005AB
7.5894632036791645,Gl-1,Gl-71
7.3805569850791075,Gl-1,Gl-866AB
7.339525098397035,Gl-1,Gl-876
7.749336860661046,Gl-1,GJ-1002
9.614753395173482,Gl-783A,Gl-780
9.952844306528661,Gl-783A,Gl-845
6.6053116270165475,Gl-783A,Gl-832
9.761503118372703,Gl-783A,Gl-674
4.313993339123277,Gl-783A,Gl-754
3.3790875647132905,Gl-783A,Gl-784
9.28966555964207,Gl-783A,Gl-682
6.811026231780347,Gl-783A,Gl-825
0.0,Gl-783A,Gl-783A
8.617998032605948,Gl-783A,Gl-799A
4.614288914881685,Gl-887,Gl-845
6.1178979437385195,Gl-887,Gl-832
4.644155360235056,Gl-887,Gl-825
4.227558337858865,Gl-887,Gl-1
0.0,Gl-887,Gl-887
9.90555964042416,Gl-887,Gl-881
9.978235983379028,Gl-887,Gl-729
7.118575102504713,Gl-887,Gl-65A
6.93016508749972,Gl-887,Gl-54.1
8.44956945293664,Gl-887,GJ-1005AB
7.915719725963015,Gl-887,Gl-71
4.206170292558303,Gl-887,Gl-866AB
6.404258093643635,Gl-887,Gl-876
8.193363826902843,Gl-887,GJ-1002
9.197490578413221,Gl-667C,Gl-693
9.306993670353492,Gl-667C,Gl-674
5.075142162540868,Gl-667C,Gl-666B
5.075142162540868,Gl-667C,Gl-666A
8.540585852270322,Gl-667C,Gl-682
8.846412630552566,Gl-667C,Gl-588
