#Name,x-pos,y-pos,z-pos,dist,bright,temp
Wo-9802,34.9648,-11.5646,60.5909,70.9051,1.6749,5890.3220
NN-4348,24.7087,-13.0960,57.5155,63.9536,0.0038,3886.0435
NN-4347,24.7087,-13.0960,57.5155,63.9536,0.0308,4000.1321
GJ-1084,-12.4265,-47.8198,28.8646,57.2216,0.0340,3983.4078
Gl-146,-4.8567,-23.0542,30.1164,38.2372,0.0437,4103.6395
Gl-582,43.0404,-27.8462,-6.6300,51.6899,1.2023,5778.4237
Gl-739,34.2238,-7.0119,13.4849,37.4470,0.0040,3854.6801
NN-3020,14.4692,-12.7349,47.1773,50.9630,0.0052,3854.6801
Gl-582.1A,48.5545,-31.0323,-7.7248,58.1396,0.1380,5601.6978
Gl-638.1,53.1512,-21.1144,1.8576,57.2216,0.2992,4969.7612
GJ-1021,13.8229,-19.2492,63.5336,67.8094,1.8197,5815.2137
NN-3770,27.8376,-37.3110,-12.6858,48.2490,0.0000,3950.3928
Gl-333,-1.6068,-44.7676,0.7459,44.8027,0.0022,3705.4360
Gl-838,29.3646,-4.7109,34.3382,45.4266,1.0186,5967.5435
Gl-794.1,57.4966,-7.5015,44.0265,72.8043,23.9883,4742.7382
Gl-871B,34.3751,-8.7402,56.3269,66.5639,0.0132,3934.0981
Gl-871A,34.3751,-8.7402,56.3269,66.5639,1.5276,6087.5470
GJ-1132,7.0520,-55.2716,-7.5961,56.2351,0.0010,3490.0442
Gl-747.3,50.2613,-8.6909,21.3156,55.2819,0.0453,4086.0014
Gl-895.3,26.5664,-11.5866,60.5307,67.1118,0.0305,4103.6395
Gl-838.6,23.2146,-3.7041,28.2755,36.7715,0.0018,3705.4360
Gl-269A,-7.8306,-37.7431,10.5746,39.9710,0.1803,4766.8768
Gl-674,14.0990,-4.3079,1.7488,14.8459,0.0032,3748.9340
Gl-268.1,-14.4628,-66.4464,19.5307,70.7513,8.7902,7337.0793
NN-3090,7.6422,-23.5994,66.4243,70.9051,0.0118,3886.0435
Gl-101.1,-2.2844,-23.5750,45.1246,50.9630,0.0066,4671.8446
Gl-666B,23.4571,-7.4910,2.2649,24.7281,0.0167,3934.0981
Gl-666A,23.4571,-7.4910,2.2649,24.7281,0.3076,5372.7941
GJ-1157,21.2502,-40.1710,-13.0067,47.2700,0.0007,3635.2204
Gl-249.1,-15.1949,-61.5036,22.5612,67.2502,3.7325,6624.7125
Gl-126,-5.2262,-23.6319,36.4116,43.7216,0.0039,3886.0435
Gl-65.2,3.1645,-18.0798,46.3717,49.8721,0.0231,4388.7408
Gl-550.3,50.6663,-42.5598,-15.4560,67.9507,0.0273,3886.0435
Gl-787,42.8588,-4.9416,29.2130,52.1028,0.0724,4388.7408
Gl-375,3.7162,-46.7313,-5.5114,47.2016,0.0056,3719.8185
Gl-574,46.4362,-32.0354,-10.7161,57.4231,0.0308,4308.7270
Gl-456.1A,25.9300,-54.4120,-17.3561,62.7237,0.1343,4429.9292
Gl-456.1B,25.9339,-54.4047,-17.3733,62.7237,0.0016,3705.4360
NN-3029,14.0033,-12.4953,51.9987,55.2819,0.0032,3854.6801
Gl-633,29.0560,-11.3151,-0.1758,31.1820,0.0007,3635.2204
Gl-477,19.8811,-34.2620,-12.0041,41.3913,0.0051,3823.8388
Gl-750A,40.8418,-5.8778,17.7693,44.9261,0.0149,3917.9429
Gl-367,1.1680,-29.8086,-2.9632,29.9782,0.0067,3748.9340
Gl-9.1,14.3245,-10.2769,47.3953,50.5680,6.0256,4671.8446
Gl-17.1,16.5173,-14.4631,61.8452,65.6264,0.0244,3823.8388
Gl-132,-6.9542,-27.1641,41.7066,50.2563,0.4285,6046.9729
Gl-55,4.4510,-12.1615,37.6088,39.7760,1.4060,6046.9729
Gl-754,16.8250,-2.2449,7.5158,18.5637,0.0004,3541.4261
Gl-604.1,66.0574,-32.0699,-7.2996,73.7926,0.4169,5468.4090
Gl-67.2,2.8966,-21.7390,57.6243,61.6566,0.0592,5636.1130
Gl-336.2B,-2.9440,-72.0593,-2.4205,72.1600,0.0322,4969.7612
